post_id,text,timestamp,user_id,username,hashtags,mentions,likes,replies,retweets,followers_count,following_count,bio,location,language,account_created_at,reply_to_user,mentioned_user,retweeted_user,quoted_user,ground_truth_label,dataset_split
tw_t593932392663912449,"RT @morningJewshow: Speaking about Jews and comedy tonight at Temple Emanu-El in San Francisco. In other words, my High Holidays.",,u_u678033,heathr,,@morningJewshow,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593895316719423488,This age/face recognition thing..no reason platforms can't have changing avatars of our actual faces to increase affect/better communication,,u_u678033,heathr,,,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593880638069018624,Only upside of the moment I can think of is that network news hasn't booked their #Baltimore panels with Bill Cosby.#fb,,u_u678033,heathr,#Baltimore;#fb,,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593847955536252928,If you're going to think about+create experiences then you need a broad knowledge of what the human experience is. #peopleoverinterfaces #UX,,u_u678033,heathr,#peopleoverinterfaces;#UX,,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593847687847350272,Watching a thread on FB about possible future of UX speaker and crowd suggestions seem 96%white American dudes. Dream broadly people.,,u_u678033,heathr,,,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593819412660101121,Don't. Ok? https://t.co/uTXrJ6zvdN,,u_u678033,heathr,,,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593814612820119552,"RT @SanFranciscoBA: #enoughsenough ""Surprise! Woody Allen’s new film is about a young girl’s romance with a much older man."" =&gt; http://t.co…",,u_u678033,heathr,#enoughsenough,@SanFranciscoBA,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593750651449905152,"RT @thepatrickwalsh: Kriss Kross once rapped ""some of them try to rhyme but they can't rhyme like this,"" then rhymed ""jump"" with ""jump"" for…",,u_u678033,heathr,,@thepatrickwalsh,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593750427792867329,RT @TheAtlanticPOL: Watch Baltimore native @tanehisicoates speak on Race in America @JohnsHopkins this morning at 10:30. Livestream here: h…,,u_u678033,heathr,,@tanehisicoates;@TheAtlanticPOL;@JohnsHopkins,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593742580774371329,@thelancearthur @hotdogsladies I didn't realize anyone has ever made it to dessert there.,,u_u678033,heathr,,@hotdogsladies;@thelancearthur,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593659318479687680,RT @sippey: Here's my one paragraph review of the new MacBook. https://t.co/vUcQgXQJEG,,u_u678033,heathr,,@sippey,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593654865689124865,@wkamaubell I stand by you. I don't want men telling me what's sexist either People are the experts on their own experience.,,u_u678033,heathr,,@wkamaubell,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593584377218473984,@frogtosser Thank you Becca.,,u_u678033,heathr,,@frogtosser,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593579247110782976,"@MMFlint I dont' ask for RTs gen, but my friend @frakintosh is a Columbine survivor who needs to finally get therapy http://t.co/SRbhQ3nweH",,u_u678033,heathr,,@frakintosh;@MMFlint,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593578595370438657,"Not only$ but acts+messages from people that say ""you're still here, you matter.""Pls tell @frakintosh u care. http://t.co/SRbhQ3nweH  #PTSD",,u_u678033,heathr,#PTSD,@frakintosh,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593578251722690560,To live with untreated PTSD is to feel like you might die any moment. Again and again. Help costs money. http://t.co/SRbhQ3nweH#fb,,u_u678033,heathr,#fb,,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593578041936220160,@frakintosh is also a Columbine survivor. Miles away from the big news coverage he is still struggling. http://t.co/SRbhQ3nweH#fb,,u_u678033,heathr,#fb,@frakintosh,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593577845814796289,@frakintosh is old skool web. A good web citizen. A maker. A team player. he needs a web of help now http://t.co/SRbhQ3nweH cc @anildash,,u_u678033,heathr,,@frakintosh;@anildash,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593577605615325184,One reason my life has gotten better is the support of my dear friend @frakintosh. Now he needs help. Pls join me http://t.co/SRbhQ3nweH#fb,,u_u678033,heathr,#fb,@frakintosh,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
tw_t593573786374381569,RT @FINALLEVEL: Jon Stewart got it RIGHT again! Watch the wake up call he gave his #DailyShow viewers regarding the #BaltimoreRiots. http:/…,,u_u678033,heathr,#DailyShow;#BaltimoreRiots,@FINALLEVEL,0,0,0,7065,1822,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,OAK,en,Mon Jan 22 01:57:38 +0000 2007,,,,,human,train
